index, fecha,sintomas,Casos por fecha de toma de muestra,Casos por fecha de emisión de resultados
1,2020-06-15,725,1019,555
2,2020-06-16,545,954,718
3,2020-06-17,509,884,551
4,2020-06-18,482,767,814
5,2020-06-19,545,912,486
6,2020-06-20,681,781,256
7,2020-06-21,357,356,418
8,2020-06-22,787,1185,780
9,2020-06-23,719,1217,778
10,2020-06-24,648,1198,351
11,2020-06-25,673,1418,1037
12,2020-06-26,777,1371,671
13,2020-06-27,676,918,572
14,2020-06-28,513,403,466
15,2020-06-29,670,1017,734
16,2020-06-30,821,1741,984
17,2020-07-01,793,1411,1138
18,2020-07-02,694,1416,1299
19,2020-07-03,700,1334,1330
20,2020-07-04,581,908,790
21,2020-07-05,506,390,700
22,2020-07-06,729,1310,901
23,2020-07-07,654,1298,674
24,2020-07-08,611,1345,1236
25,2020-07-09,576,1173,1003
26,2020-07-10,794,1071,1008
27,2020-07-11,608,772,806
28,2020-07-12,471,491,408
29,2020-07-13,700,1227,1220
30,2020-07-14,604,1158,1261
31,2020-07-15,616,1128,939
32,2020-07-16,596,1178,1021
33,2020-07-17,591,1039,1191
34,2020-07-18,618,697,666
35,2020-07-19,484,384,340
36,2020-07-20,804,1268,1296
37,2020-07-21,531,1076,1131
38,2020-07-22,504,1127,1073
39,2020-07-23,486,1048,1019
40,2020-07-24,527,1072,1272
41,2020-07-25,440,618,638
42,2020-07-26,379,315,261
43,2020-07-27,542,1264,1209
44,2020-07-28,512,1131,1179
45,2020-07-29,409,912,1271
46,2020-07-30,479,877,1000
47,2020-07-31,474,885,1163
48,2020-08-01,649,588,358
49,2020-08-02,375,411,227
50,2020-08-03,486,1129,788
51,2020-08-04,383,886,1143
52,2020-08-05,403,966,824
53,2020-08-06,379,768,943
54,2020-08-07,380,719,903
55,2020-08-08,400,533,420
56,2020-08-09,317,301,389
57,2020-08-10,560,859,996
58,2020-08-11,372,804,1151
59,2020-08-12,366,746,1233
60,2020-08-13,340,752,1144
61,2020-08-14,423,686,903
62,2020-08-15,401,475,337
63,2020-08-16,351,392,310
64,2020-08-17,449,909,909
65,2020-08-18,357,773,1043
66,2020-08-19,325,729,1124
67,2020-08-20,484,798,1052
68,2020-08-21,384,730,943
69,2020-08-22,378,413,331
70,2020-08-23,325,309,342
71,2020-08-24,359,844,1152
72,2020-08-25,369,754,1082
73,2020-08-26,318,775,1141
74,2020-08-27,320,684,1065
75,2020-08-28,352,710,749
76,2020-08-29,264,377,227
77,2020-08-30,270,237,166
78,2020-08-31,351,729,813
79,2020-09-01,429,697,724
80,2020-09-02,328,633,681
81,2020-09-03,315,663,670
82,2020-09-04,372,511,441
83,2020-09-05,327,361,189
84,2020-09-06,312,220,146
85,2020-09-07,358,761,821
86,2020-09-08,307,742,893
87,2020-09-09,281,591,680
88,2020-09-10,368,709,694
89,2020-09-11,333,681,625
90,2020-09-12,299,430,253
91,2020-09-13,296,266,256
92,2020-09-14,376,743,455
93,2020-09-15,340,366,243
94,2020-09-16,317,708,731
95,2020-09-17,399,658,724
96,2020-09-18,405,746,742
97,2020-09-19,366,529,289
98,2020-09-20,419,332,222
99,2020-09-21,455,802,896
100,2020-09-22,335,790,752
101,2020-09-23,293,763,449
102,2020-09-24,298,752,872
103,2020-09-25,359,650,796
104,2020-09-26,303,354,395
105,2020-09-27,315,249,162
106,2020-09-28,338,756,697
107,2020-09-29,300,696,790
108,2020-09-30,301,607,684
109,2020-10-01,435,641,660
110,2020-10-02,343,623,618
111,2020-10-03,308,323,212
112,2020-10-04,256,220,209
113,2020-10-05,365,741,678
114,2020-10-06,296,648,793
115,2020-10-07,300,621,730
116,2020-10-08,319,575,426
117,2020-10-09,309,631,583
118,2020-10-10,431,353,167
119,2020-10-11,261,200,106
120,2020-10-12,315,622,521
121,2020-10-13,283,670,708
122,2020-10-14,258,618,653
123,2020-10-15,339,593,634
124,2020-10-16,313,572,571
125,2020-10-17,242,287,353
126,2020-10-18,264,236,233
127,2020-10-19,348,662,594
128,2020-10-20,322,383,157
129,2020-10-21,252,563,771
130,2020-10-22,261,615,729
131,2020-10-23,283,600,701
132,2020-10-24,237,315,156
133,2020-10-25,281,190,104
