Número;Datos - generales;;;;;;;;;;;;;;;;;;;;;;;;
1;6;;;;;;;;;;;;;;;;;;;;;;;;
2;5;;;;;;;;;;;;;;;;;;;;;;;;
3;5;;;;;;;;;;;;;;;;;;;;;;;;
4;6;;;;;;;;;;;;;;;;;;;;;;;;
5;5;;;;;;;;;;;;;;;;;;;;;;;;
6;4;;;;;;;;;;;;;;;;;;;;;;;;
7;6;;;;;;;;;;;;;;;;;;;;;;;;
8;6;;;;;;;;;;;;;;;;;;;;;;;;
9;5;;;;;;;;;;;;;;;;;;;;;;;;
10;4;;;;;;;;;;;;;;;;;;;;;;;;
11;6;;;;;;;;;;;;;;;;;;;;;;;;
12;6;;;;;;;;;;;;;;;;;;;;;;;;
13;5;;;;;;;;;;;;;;;;;;;;;;;;
14;6;;;;;;;;;;;;;;;;;;;;;;;;
15;9;;;;;;;;;;;;;;;;;;;;;;;;
16;8;;;;;;;;;;;;;;;;;;;;;;;;
17;1;;;;;;;;;;;;;;;;;;;;;;;;
18;7;;;;;;;;;;;;;;;;;;;;;;;;
19;5;;;;;;;;;;;;;;;;;;;;;;;;
20;3;;;;;;;;;;;;;;;;;;;;;;;;
21;5;;;;;;;;;;;;;;;;;;;;;;;;
22;3;;;;;;;;;;;;;;;;;;;;;;;;
23;3;;;;;;;;;;;;;;;;;;;;;;;;
24;4;;;;;;;;;;;;;;;;;;;;;;;;
25;3;;;;;;;;;;;;;;;;;;;;;;;;
26;5;;;;;;;;;;;;;;;;;;;;;;;;
27;4;;;;;;;;;;;;;;;;;;;;;;;;
28;4;;;;;;;;;;;;;;;;;;;;;;;;
29;6;;;;;;;;;;;;;;;;;;;;;;;;
30;2;;;;;;;;;;;;;;;;;;;;;;;;
31;5;;;;;;;;;;;;;;;;;;;;;;;;
32;6;;;;;;;;;;;;;;;;;;;;;;;;
33;7;;;;;;;;;;;;;;;;;;;;;;;;
34;5;;;;;;;;;;;;;;;;;;;;;;;;
35;5;;;;;;;;;;;;;;;;;;;;;;;;
36;2;;;;;;;;;;;;;;;;;;;;;;;;
37;3;;;;;;;;;;;;;;;;;;;;;;;;
38;5;;;;;;;;;;;;;;;;;;;;;;;;
39;7;;;;;;;;;;;;;;;;;;;;;;;;
40;6;;;;;;;;;;;;;;;;;;;;;;;;
41;5;;;;;;;;;;;;;;;;;;;;;;;;
42;1;;;;;;;;;;;;;;;;;;;;;;;;
43;6;;;;;;;;;;;;;;;;;;;;;;;;
44;4;;;;;;;;;;;;;;;;;;;;;;;;
45;4;;;;;;;;;;;;;;;;;;;;;;;;
46;8;;;;;;;;;;;;;;;;;;;;;;;;
47;5;;;;;;;;;;;;;;;;;;;;;;;;
48;3;;;;;;;;;;;;;;;;;;;;;;;;
49;6;;;;;;;;;;;;;;;;;;;;;;;;
50;5;;;;;;;;;;;;;;;;;;;;;;;;
51;6;;;;;;;;;;;;;;;;;;;;;;;;
52;4;;;;;;;;;;;;;;;;;;;;;;;;
53;5;;;;;;;;;;;;;;;;;;;;;;;;
54;5;;;;;;;;;;;;;;;;;;;;;;;;
55;3;;;;;;;;;;;;;;;;;;;;;;;;
56;2;;;;;;;;;;;;;;;;;;;;;;;;
57;6;;;;;;;;;;;;;;;;;;;;;;;;
58;5;;;;;;;;;;;;;;;;;;;;;;;;
59;2;;;;;;;;;;;;;;;;;;;;;;;;
60;9;;;;;;;;;;;;;;;;;;;;;;;;
61;7;;;;;;;;;;;;;;;;;;;;;;;;
62;4;;;;;;;;;;;;;;;;;;;;;;;;
63;7;;;;;;;;;;;;;;;;;;;;;;;;
64;4;;;;;;;;;;;;;;;;;;;;;;;;
65;3;;;;;;;;;;;;;;;;;;;;;;;;
66;3;;;;;;;;;;;;;;;;;;;;;;;;
67;6;;;;;;;;;;;;;;;;;;;;;;;;
68;6;;;;;;;;;;;;;;;;;;;;;;;;
69;4;;;;;;;;;;;;;;;;;;;;;;;;
70;4;;;;;;;;;;;;;;;;;;;;;;;;
71;6;;;;;;;;;;;;;;;;;;;;;;;;
72;5;;;;;;;;;;;;;;;;;;;;;;;;
73;5;;;;;;;;;;;;;;;;;;;;;;;;
74;4;;;;;;;;;;;;;;;;;;;;;;;;
75;6;;;;;;;;;;;;;;;;;;;;;;;;
76;4;;;;;;;;;;;;;;;;;;;;;;;;
77;9;;;;;;;;;;;;;;;;;;;;;;;;
78;6;;;;;;;;;;;;;;;;;;;;;;;;
79;4;;;;;;;;;;;;;;;;;;;;;;;;
80;4;;;;;;;;;;;;;;;;;;;;;;;;
81;8;;;;;;;;;;;;;;;;;;;;;;;;
82;6;;;;;;;;;;;;;;;;;;;;;;;;
83;4;;;;;;;;;;;;;;;;;;;;;;;;
84;4;;;;;;;;;;;;;;;;;;;;;;;;
85;8;;;;;;;;;;;;;;;;;;;;;;;;
